tx_z	100.0freq_GHz	0.05
rx_x	rx_z	amp_rx_real	amp_rx_imag
400.0	20.0	-0.00011104763945343193	-7.870393125670529e-05
400.0	40.0	0.00013606541805858663	1.9431595396064148e-05
400.0	80.0	-8.965339931984855e-05	0.00010981335047857394
400.0	120.0	-8.910830771846861e-05	0.00011013088488075387
400.0	150.0	3.786706137472214e-05	-0.00013412697002442562
400.0	200.0	-6.0564110889124805e-05	0.00011772171541629454
400.0	500.0	5.4607200962082025e-05	-3.913411427392987e-05
400.0	800.0	3.464404504461344e-05	4.657090634136813e-06
600.0	-10.0	-3.631980768887415e-05	9.044903963756713e-05
600.0	-2.0	8.010324342809848e-05	3.2207488123224795e-05
600.0	2.0	9.204588440716436e-05	-2.8387553184123316e-05
600.0	5.0	7.133579708197602e-05	-6.478243577081829e-05
600.0	8.0	3.475205337594339e-05	-8.553186801398026e-05
600.0	10.0	4.3436684119817335e-06	-8.91753139900966e-05
600.0	12.0	-2.6068801998445914e-05	-8.431140620301332e-05
600.0	15.0	-6.370639926013306e-05	-6.555022378895953e-05
600.0	20.0	-9.4487505792896e-05	-1.1610250325696992e-05
600.0	40.0	6.241063378278008e-05	6.938348571831597e-05
600.0	80.0	-3.634339797329684e-05	-8.705037223767494e-05
600.0	120.0	-3.65776648751772e-05	-8.742723765535453e-05
600.0	150.0	9.313258191826947e-05	-1.2887897438789713e-05
600.0	200.0	9.123299215250681e-05	6.378588871843156e-06
600.0	500.0	2.8647290951977496e-05	-5.5811907435188295e-05
600.0	800.0	-1.6214508121926446e-05	3.454019672608306e-05
800.0	-10.0	4.672170119468726e-06	8.322532217888758e-05
800.0	-2.0	5.12771997468962e-05	3.4954274767839616e-05
800.0	2.0	5.75057353042069e-05	-9.098627795373994e-06
800.0	5.0	5.479400486739045e-05	-3.9582357705790743e-05
800.0	8.0	4.507446124536456e-05	-6.213387889850932e-05
800.0	10.0	3.610527997736698e-05	-7.163101419920947e-05
800.0	12.0	2.4601553682447086e-05	-7.594512083051067e-05
800.0	15.0	4.3180824029560255e-06	-7.393465998644654e-05
800.0	20.0	-3.257290382537475e-05	-5.3242358573664904e-05
800.0	40.0	-4.541831093871773e-05	4.79461990889161e-05
800.0	80.0	6.856494517251888e-05	1.4666867577134728e-05
800.0	120.0	6.985557406587818e-05	1.3685489467134672e-05
800.0	150.0	5.785994671915763e-07	7.050928869738932e-05
800.0	200.0	6.853394331005855e-05	1.1168831148046138e-05
800.0	500.0	-5.72104888055623e-06	-5.454988579769193e-05
800.0	800.0	2.2267192845693223e-05	-3.10480496390247e-05
990.0	-10.0	-3.36449115575004e-05	-6.080118069581681e-05
990.0	-2.0	-5.289982573174811e-05	-3.3992057742120515e-05
990.0	2.0	-4.7504903752470414e-05	-7.044416702899585e-06
990.0	5.0	-3.932952947746444e-05	1.520048121622653e-05
990.0	8.0	-2.9292091394733395e-05	3.571555291193315e-05
990.0	10.0	-2.2326742412060965e-05	4.773331905032951e-05
990.0	12.0	-1.5591267656927025e-05	5.7526991669922826e-05
990.0	15.0	-5.830249344025167e-06	6.677664124237628e-05
990.0	20.0	8.666110833286055e-06	6.735850214968605e-05
990.0	40.0	6.236628703384246e-05	-1.4502787519305524e-05
990.0	80.0	-1.1608189377717738e-05	-5.175285871432118e-05
990.0	120.0	-1.4522906794903915e-05	-5.737608385246933e-05
990.0	150.0	4.417730995809318e-05	-3.7028510416395285e-05
990.0	200.0	-5.667490486699798e-05	-5.609518326155119e-06
990.0	500.0	-3.0235330751934424e-05	-3.732014609371479e-05
990.0	800.0	6.098888776893709e-06	-3.5898178799059584e-05
