gen	S_max	S_mean	S_var	S_med
1	1953.6409487841565	1439.3176399617596	201.93096141112224	1374.9881682570162
2	1876.8473208966343	1428.6896536351867	187.50113980996434	1376.2001736555872
3	1876.8473209003955	1622.208299575013	265.9478411017167	1684.3742067633016
4	1876.8473208968978	1757.9992135930547	170.4382476709388	1867.334032951629
5	1918.4398007125951	1748.1497714628708	173.58101635963578	1876.8473208952878
6	1876.8473208965488	1771.1033302133212	104.9226481741506	1793.66996332876
7	1876.8473208989435	1602.8641636153702	187.26913598787127	1551.9161348116918
8	1818.932004019096	1644.6667618879342	160.13969753127344	1675.2353676043222
9	1827.319706155976	1666.4396935019765	182.8377534125739	1763.3520993839288
